14-Nov-2014 23:10:46
RngSeed: 1416006646485
DelayedPheromone: false
DistanceWeight: 3.0
Evaporation: 0.5
NumAnts: 50
NumCities: 10
PheromoneAmount: 1.0
PheromoneWeight: 1.0
XSize: 150
YSize: 120

"tick", "Best Path Length", "Avg. Path Length"
67.0, 767.2406483182641, 959.0
68.0, 767.2406483182641, 964.0
69.0, 767.2406483182641, 951.0
70.0, 767.2406483182641, 951.0
71.0, 767.2406483182641, 946.0
72.0, 759.3257065685725, 953.0
73.0, 759.3257065685725, 943.0
74.0, 759.3257065685725, 950.0
75.0, 759.3257065685725, 963.0
76.0, 759.3257065685725, 950.0
77.0, 759.3257065685725, 938.0
78.0, 759.3257065685725, 963.0
79.0, 759.3257065685725, 940.0
80.0, 759.3257065685725, 932.0
81.0, 759.3257065685725, 946.0
82.0, 759.3257065685725, 943.0
83.0, 759.3257065685725, 934.0
84.0, 759.3257065685725, 960.0
85.0, 759.3257065685725, 958.0
86.0, 759.3257065685725, 940.0
87.0, 759.3257065685725, 927.0
88.0, 759.3257065685725, 950.0
89.0, 759.3257065685725, 958.0
90.0, 759.3257065685725, 960.0
91.0, 759.3257065685725, 955.0
92.0, 759.3257065685725, 921.0
93.0, 759.3257065685725, 951.0
94.0, 759.3257065685725, 962.0
95.0, 759.3257065685725, 956.0
96.0, 759.3257065685725, 935.0
97.0, 759.3257065685725, 936.0
98.0, 759.3257065685725, 935.0
99.0, 759.3257065685725, 952.0
100.0, 759.3257065685725, 949.0
101.0, 759.3257065685725, 950.0
102.0, 759.3257065685725, 952.0
103.0, 759.3257065685725, 946.0
104.0, 759.3257065685725, 927.0
105.0, 759.3257065685725, 946.0
106.0, 759.3257065685725, 950.0
107.0, 759.3257065685725, 942.0
108.0, 759.3257065685725, 949.0
109.0, 759.3257065685725, 948.0
110.0, 759.3257065685725, 940.0
111.0, 759.3257065685725, 942.0
112.0, 759.3257065685725, 952.0
113.0, 759.3257065685725, 943.0
114.0, 759.3257065685725, 944.0
115.0, 759.3257065685725, 933.0
116.0, 759.3257065685725, 959.0
117.0, 759.3257065685725, 937.0
118.0, 759.3257065685725, 942.0
119.0, 759.3257065685725, 972.0
120.0, 759.3257065685725, 947.0
121.0, 759.3257065685725, 944.0
122.0, 759.3257065685725, 955.0
123.0, 759.3257065685725, 942.0
124.0, 759.3257065685725, 942.0
125.0, 759.3257065685725, 959.0
126.0, 759.3257065685725, 948.0
127.0, 759.3257065685725, 954.0
128.0, 759.3257065685725, 938.0
129.0, 759.3257065685725, 957.0
130.0, 759.3257065685725, 939.0
131.0, 759.3257065685725, 928.0
132.0, 759.3257065685725, 945.0
133.0, 759.3257065685725, 926.0
134.0, 759.3257065685725, 930.0
135.0, 759.3257065685725, 926.0
136.0, 759.3257065685725, 958.0
137.0, 759.3257065685725, 954.0
138.0, 759.3257065685725, 939.0
139.0, 759.3257065685725, 945.0
140.0, 759.3257065685725, 945.0
141.0, 759.3257065685725, 928.0
142.0, 759.3257065685725, 941.0
143.0, 759.3257065685725, 935.0
144.0, 759.3257065685725, 945.0
145.0, 759.3257065685725, 958.0
146.0, 759.3257065685725, 954.0
147.0, 759.3257065685725, 938.0
148.0, 759.3257065685725, 960.0
149.0, 759.3257065685725, 933.0
150.0, 759.3257065685725, 927.0
151.0, 759.3257065685725, 949.0
152.0, 759.3257065685725, 929.0
153.0, 759.3257065685725, 949.0
154.0, 759.3257065685725, 940.0
155.0, 759.3257065685725, 939.0
156.0, 759.3257065685725, 932.0
157.0, 759.3257065685725, 951.0
158.0, 759.3257065685725, 938.0
159.0, 759.3257065685725, 935.0
160.0, 759.3257065685725, 960.0
161.0, 759.3257065685725, 952.0
162.0, 759.3257065685725, 942.0
163.0, 759.3257065685725, 936.0
164.0, 759.3257065685725, 943.0
165.0, 759.3257065685725, 957.0
166.0, 759.3257065685725, 933.0
167.0, 759.3257065685725, 949.0
168.0, 759.3257065685725, 948.0
169.0, 759.3257065685725, 933.0
